Text,Quote
"I realized again how important my family members are to me, especially my mother. She is always there for me and this means the world to me. There is no amount of money that could replace all the things that my mother means to me. She is the epitome of love, kindness, giving and strength.",Overcome the devils with a thing called love.
I ran about 5km. It was a somewhat fast run. I am getting in better condition. I felt relaxed and happy.,"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
i pray to god daily and it makes me feel good. my days are often boring but god is always there,"Whatever you know, or don't - only Love is real."
"I practiced self care today. I took my meds, ate breakfast, had my coffee, had a short but nice conversation with my husband, and enjoyed a little bit of TV.","Smile, breathe and go slowly."
I played video games from my childhood and it was very exciting.,"The history of the castle at Wiśnicz Nowy is enlivened by many legends. Many well-known artists visited the castle in centuries past. Till now, many elements of old architecture (towers, chapel) have survived, together with some details of interior design."
I played a game with a friend and it was just something fun to do. Something to help relax and help me keep my mind off of things. We played for some hours too so I had a lot of fun.,Music is the strongest form of magic.
I ordered pizza which I was craving and it was delicious,There is no spectacle on earth more appealing than that of a beautiful woman in the act of cooking dinner for someone she loves.
I need exercise to feel calm and relaxed. It helps me deal with the rest of the day.,"Never stop. Never stop fighting. Never stop dreaming. And don’t be afraid of wearing your heart on your sleeve - in declaring the films that you love, the films that you want to make, the life that you’ve had, and the lives you can help reflect in cinema. For myself, for a long time… maybe I felt inauthentic or something, I felt like my voice wasn’t worth hearing, and I think everyone’s voice is worth hearing. So if you’ve got something to say, say it from the rooftops."
"I met with my mom yesterday to talk jointly with a financial adviser regarding a fair amount of money she and my dad were bringing over from their home country. We had a lively discussion with the adviser and he persuaded us to put the money in a regular investment fund, rather than an annuity that the other salespeople were trying to sell us on. I felt satisfied with this advice and that I had helped steer my parents in a better direction.",Honesty and frankness make you vulnerable. Be honest and frank anyway!
I met with my mom and niece to have ice cream after school. She is 6 and was so excited. We talked about her day at school. It was fun!,Always remember. You will live. You will love. You will dance again.
"I met my girlfriend and her sister for dinner. We discussed, drank wine, it was nice","I'm not interested in money, I just want to be wonderful."
I met my friends and we celebrated my mother's birthday together.,My garden is my most beautiful masterpiece
I made passionate love to my wife.,"Whatever you know, or don't - only Love is real."
I made homemade chicken and dumpling soup. It made me feel warm and nostalgic because it was my great grandmas recipe and she would invite me over everytime she made it.,Always remember. You will live. You will love. You will dance again.
I made enchiladas for supper yesterday.,"I think I'm dumb
or maybe just happy
think I'm just happy…"
"I made a pot roast, which cooked in the slow cooker all day.  It’s my favorite meal and the smell of it cooking, brought back a flood of great memories of growing up.  The smell of wonderful food cooking is very enticing to me and I waited all day, anticipating what a great supper it would be.",You know you're in love when you can't fall asleep because reality is finally better than your dreams.
i made a huge breakfast,"Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great"
I love to watch movies from the library that are documentaries. Yesterday I watched a political documentary and it really caused me to think about the way I view the internet.,"I must have flowers, always, and always."
I love my writing job and I am starting to do the reviews for the holidays.  I had a very special children's book for Christmas to write the review for yesterday and I was proud of my review and the response that I got from the publicist for whom I work.,"Knowledge is a desire that comes after acquiring power. The first type of desire is love, then wealth, health, power and knowledge."
I love my work.My co workers cooperate me.So my work is full of satisfactions.,Let the beauty of what you love be what you do.
"I love my work, I love going out to work in the hospital to save lives and help others live better  lives","Women are beautiful in the light of the day, but are even more so in the shadows of the night."
i love my husband so much! He always makes me happy and is there for me!,Jimi Hendrix is very important. He's my idol.
I love her. She is the Joy of my life. Melonie Joy is the best thing that has ever happened to me and I love spending days with her.,We had a beautiful dream and that was all.
i love being in good health it makes me really happy,We accept the love we think we deserve.
I looked forward to my running days because I get to hang out with my buddies from college and keep in touch with them while enjoying nature and the thrill of running on the trails.,"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
i like talking to my friends,"Women are beautiful in the light of the day, but are even more so in the shadows of the night."
"I learned from my doctor yesterday that I am vitamin D deficient and that I also have to take medication for cholesterol.  I thought I was doing good, but apparently not.","Hold me, I can't breathe I don't wanna die, I don't wanna OD Cup full of lean, pure codeine Ten lines deep, now I can't see"
"I hit some new personal records at the gym ysterday. Having been working extremely hard, I was finally able to put up the 120lb dumbells on the flet bench.","Smile, breathe and go slowly."
I hit my work goal yesterday easily. It was a smooth process with no hiccups. I even got some important paperwork for the future finally sent in.,Be willing to be a beginner every single morning.
I helped my parents with a project. I was happy that I helped them complete what they wanted to do. It feels good to be able to spend time with my parents as they are getting older.,"I'm not interested in money, I just want to be wonderful."
"I haven't had much time with my husband lately, so it was nice to eat dinner last night and just have some us time. I felt relaxed and comforted to have him close and to forget about how crazy life has been lately.","If I had a flower for every time I thought of you, I could walk through my garden forever."
i have time to myself for myself. i love it,"Whatever you know, or don't - only Love is real."
"I have the best family anyone could want. My beautiful wife made a great dinner and homemade pie, which I love. My daughter brought home a school project that she made all by herself, and got an A on. She was so proud and I felt even prouder of her. She's an amazing child and she'll do well in life.","I'm the kind of boy that can fall in love with any girl because I love with the heart, not the eyes."
I have some sort of inflammation in my larynx and my doctor doesn't know quite what it is but we are determined to treat it.  I just want to be able to drink coffee again!,"At this stage, some people might advise me to focus on pleasure and avoid any kind of pain—But where can we hide from pain when it finds us unprepared?"
I have had a sinus infection since late last week and it has made me feel lousy. Hard to work feeling like that.,"I thought, “I want to die. I want to die more than ever before. There’s no chance now of a recovery. No matter what sort of thing I do, no matter what I do, it’s sure to be a failure, just a final coating applied to my shame. That dream of going on bicycles to see a waterfall framed in summer leaves—it was not for the likes of me. All that can happen now is that one foul, humiliating sin will be piled on another, and my sufferings will become only the more acute. I want to die. I must die. Living itself is the source of sin."
I have fitness goals and working towards those goals really makes my day. Working towards these goals provides me great satisfaction.,There is no way to happiness. Happiness is the way.
I have been struggling to get our house ready to be sold. I know I have a lot of items that I need to get rid of or donate. I set a goal for myself to go through all of our families clothes and donate those things that we never wear or have outgrown. I was pleased to make it through all the closets and drawers and donated five bags of clothing. I really felt like I made the first step toward getting the house ready to be sold.,"Help me find a way to pass the time Everybody tellin' me life's short, but I wanna die Help me find a way to make you mine Everybody tellin' me not to, but I'm gonna try Now I'm gettin' high again, tonight"
"I have been sleeping a lot lately. When I get home from work, I usually need to take a nap. It can last anywhere from an hour to three hours. It is really frustrating because I am getting enough sleep at night, so I feel I am wasting my time.","I thought, “I want to die. I want to die more than ever before. There’s no chance now of a recovery. No matter what sort of thing I do, no matter what I do, it’s sure to be a failure, just a final coating applied to my shame. That dream of going on bicycles to see a waterfall framed in summer leaves—it was not for the likes of me. All that can happen now is that one foul, humiliating sin will be piled on another, and my sufferings will become only the more acute. I want to die. I must die. Living itself is the source of sin."
"I have been on a trip recently, so I was unable to go to my regular Burn Boot Camp workout until yesterday. It was my first day back in almost a week. While quite hard, it was a great workout and I was very happy to be back. We did a metobolic conditioning white board and I was very proud to get through the board twice and to the bonus med ball slam round.","I think everybody deserves an equal amount of appreciation whether how old they are, but I mean, I'm cool with the praise. I'm good."
"I have been dealing with profound medical issues and personal loss. So, I've spent the last few days with my sister and her family. Being with them, including my niece, nephew, and grand nephew has provided both the comfort and distraction that was sorely needed. I feel much refreshed today.","There's good in all of us and I think I simply love people too much, so much that it makes me feel too sad."
"I have a whole lot of extra bills this month including property taxes, so I felt good about working all day yesterday and making some extra money.  At least this way I feel that I am doing something proactive and constructive about our money worries.","I know it seems hard sometimes but remember one thing. Through every dark night, there's a bright day after that. So no matter how hard it get, stick your chest out, keep ya head up…. and handle it."
I have a time for prayer in the morning and it helps me to stay calm throughout the day no matter what may happen. It helps to be able to put your greatest fears and problems into a better perspective.,"In a world that changes at an exponential rate, members of such world community have to be very proficient in finding reasonable solutions to the problems that they face by themselves."
I have a large project at work that has been very difficult. Yesterday I hit a large roadblock with it and I spent most of the day troubleshooting the issues. They're still not resolved and it's very frustrating. Because of this my work was the most salient thing about my day yesterday. I love my job but it can be very frustrating when problems happen that are difficult to fix. It distracting and I need some time to myself to think through the problems.,"Wake up in the morning, now you doing the impossible Find out what's important, now you're feeling philosophical When I die, I'll pack my bags, move somewhere more affordable Isn't life horrible? I think that life is horrible"
"I have a home recording studio in my attic that I sometimes hire out as a side gig. I had a group of three friends that scheduled a session with me yesterday evening who did not show up and did not call to let me know they weren't going to make it. I treat it as a side business and act professionally and expect others who reserve my time to treat it seriously - I ended up staying in for the evening waiting on them. It was slightly more obnoxious than usual because they were not only ""clients"" but are friends and it was a pretty disrespectful thing to happen.","Michael Jackson: There's a time for this, and this you should not do. You should not go out and say, 'Oh he's Jacko'. I'm not a ""Jacko."""
I have a degenerative disease Inclusion Body Myositis in my skeletal muscles and must exercise regularly to slow down the progression of the disease and this is very frustrating.,"It's not worth the bother of killing yourself, since you always kill yourself too late."
"I have a big bill I need to pay in a few days, so after work I tried really hard to make money on mTurk to make up the difference.","Looking back on each element, the absence of the audience this time meant that it was difficult to make that connection [with the crowd], but there are a lot of movements in the choreography that try to speak to the audience, so I think that’s also a key appeal for this program."
"I hadn't been able to work out in awhile due to an injury, and I just bought a new set of weights I was excited to try out. Yesterday was really nice in feeling that I could start exercising again.","Yesterday is but a dream,
Tomorrow is only a vision.
But today well lived makes every yesterday a dream of happiness, and every tomorrow a vision of hope."
I had what felt like a rather long and frustrating work day yesterday. It felt like everthing was just dragging at work.,"Can you imagine how terrible it is when you've got everything and you're still desperately lonely? That is awful beyond words.
I'm so powerful on stage that I seem to have created a monster. When I'm performing I'm an extrovert, yet inside I'm a completely different man."
I had to work alone today and close at work. It was stressful because I was the only person at work. That meant I was in control of everything. I had to answer phone calls interact with customers and solve any issues that arose. It was stressful.,"All I feel are the assaults of apprehension and terror at the thought that I am the only one who is entirely unlike the rest. It is almost impossible for me to converse with other people. What should I talk about, how should I say it? - I don't know."
"I had to walk into a shitshow, where there was no support staff, multiple call-offs, and openers had walk-in assignments. I had to do twice as much as normal.",Bing? Who the fuck uses Bing?
"I had to take my roommate to the hospital. We weren't sure whether she had a problem with her appendix, or maybe a urinary tract infection or kidney stones. She has no insurance so we had to go to the emergency room. Fortunately, they saw her within 30 minutes because she was in pain. It turned out she had kidney stones. I went back home and waited for her to call me. When she called, we had to go to the hospital pharmacy to pick up four prescriptions, which I had to pay for. Fortunately, since she is poor, they only cost $4 apiece. She went straight to bed when she got home.","As long as I can make them laugh, it doesn’t matter how, I’ll be alright. If I succeed in that, the human beings probably won’t mind it too much if I remain outside their lives. The one thing I must avoid is becoming offensive in their eyes: I shall be nothing, the wind, the sky."
I had to rest my leg all day because I have knee bursitis. So I couldn't really do much else but relax all day. It felt okay. Kinda boring though. Knee feeling better.,"So you're a tough guy
Like-it-really-rough guy
Just-can't-get-enough guy
Chest-always-so-puffed guy
I'm that bad type
Make-your-mama-sad type
Make-your-girlfriend-mad type
Might-seduce-your-dad type
I'm the bad guy, duh
I'm the bad guy"
I had to rely on my faith in God to help get me through feelings I've had concerning a recent breakup.,"I put my heart and soul into my work, and I have lost my mind in the process."
I had to prepare a meal for 300 people. We had suppers at church that I am in charge of. It is a big job but it brings a sense of accomplishment.,Why are our songs so dark but our shows a celebration? Because our songs are to help you get through those dark times and our shows are a celebration of you making it through another day. Our shows are celebrating the fact that you’re not alone. So let’s celebrate.
I had the greatest dinner yesterday.  It was cooked perfectly and the seasoning was perfect.  I am sure to make a note of the recipe so that I can prepare the meal again.,Music is the strongest form of magic.
I had the day off work so I had lots of time to hang out,"At present I absolutely want to paint a starry sky. It often seems to me that night is still more richly coloured than the day; having hues of the most intense violets, blues and greens. If only you pay attention to it you will see that certain stars are lemon-yellow, others pink or a green, blue and forget-me-not brilliance. And without my expatiating on this theme it is obvious that putting little white dots on the blue-black is not enough to paint a starry sky."
I had sushi yesterday. It was good. It made me happy. It was tasty. It put me a in a good mood.,The noblest art is that of making others happy
I had such an enjoyable meal yesterday. I had been craving it for so long. It was probably the highlight of my week.,There is no spectacle on earth more appealing than that of a beautiful woman in the act of cooking dinner for someone she loves.
I had spent most of my day yesterday working and the only salient thing I noticed I was really anxious. I wanted to get off and go home.,"Hey guys, sorry I'm late, I'm afraid I got lost on the path of life."
"I had some stomach pains all day that worried me. I spent most of the day googling what was wrong with me and unsurprisingly was met with results ranging from it could be gas, to it could be kidney stones.","I am more worried about being a good person than being the best football player in the world. When all this is over, what are you left with? "
I had sex with my wife wo I am trying to do more. It made me feel really good because sometimes I feel like I don't satisfy her enough.,I'm having too much fun today to worry about tomorrow.
"I had received an important email from an individual I had contacted last week, which they would reply a bit later than I had initially hoped for external reasons. I was glad to hear back from the person, and excited that they were willing to comply with my request. It made me feel relief/satisfaction, and happy that I could follow through with my plans.","Smile, breathe and go slowly."
I had prayed for direction from the Most High about my new business and he led me to just the right information I need to know. That made me excited.,"Heroes come and go, but legends are forever."
"I had pizza from a place I did not have since childhood, it was an interesting experience.","My daughter was asked by a little old lady in a London hotel restaurant what her daddy did. She answered, “He’s a pirate” - I was very proud of that answer."
"I had parent teacher conferences for two of my children. One was excellent and is doing really well and my oldest, is doing well academically but is struggling in the classroom and socially. He receives a lot of help at school and at home, but nothing seems to be working.","Close your eyes and I'll kiss you, Tomorrow I'll miss you."
I had one of my days doing crowd sourcing work. I have been doing this 5 months and have recently hit 10000 hits. So I have been very pleased with this work and yesterday paid off. I was very happy and elated. Such a good emotional boost!,"Live simply, love generously, care deeply, speak kindly, leave the rest to God."
"I had not seen my brother for almost 5 years although we talk on Facebook daily.  It just happened although he is only 2 hours away.  Planned visits had been cancelled.  I saw him a few times a month before our Mom passed.  Yesterday, we met for coffee as he was down here for work.  I was so excited and happy to see him.  I think we are back on track now!!","Stars,"" she whispered. ""I can see the stars again, my lady.""
A tear trickled down Artemis's cheek. ""Yes, my brave one. They are beautiful tonight.""
Stars,"" Zoe repeated. Her eyes fixed on the night sky. And she did not move again."
"I had my wisdom tooth extracted yesterday. It was the first one I've had to experience, so I was incredibly anxious.",Part of me is afraid to get close to people because I'm afraid that they're going to leave.
I had friends over which felt great but I also had some social anxiety about it.,"You say you love rain, but you use an umbrella to walk under it. You say you love sun, but you seek shelter when it is shining. You say you love wind, but when it comes you close your windows. So that's why I'm scared when you say you love me."
I had dinner with my mother and sister. We had a lot of fun.,"I must have flowers, always, and always."
"I had been sick for about 10 days and had not responded to treatment. So, I had to return to the doctor and seek a new direction in treatment.",I would rather die on my feet than live on my knees.
I had an especially frustrating day at work yesterday and had to stay late to finish a project after the project file was corrupted and I lost a whole days work.,"The real damage is done by those millions who want to ""survive."" The honest men who just want to be left in peace. Those who don't want their little lives disturbed by anything bigger than themselves. Those with no sides and no causes."
I had an amazing dinner with my family. Everybody was in a great mood and shared their news and what's going on in their lives,"That was a great time, the summer of '71 - I can't remember it, but I'll never forget it!"
I had alot of work,"I still feel like I'm 15 sometimes and then other times, I'm wanting to feel comfortable in my body and my skin."
"I had a very productive day today at work, and even picked up a new skill, which was nice.  I was very busy for most of the day, with almost no lulls, which made the day go by faster.  I feel satisfied and accomplished, which is something that doesn't happen often these days, so at the end of the day, it was a good day.","Talent wins games, but teamwork and intelligence wins championships."
I had a very good sleep last night not as usual,I'd rather take coffee than compliments just now.
"I had a really good workout yesterday. I start almost everyday with 90-120 minutes of excercise (I have missed 10 days this year) and yesterday was chest, shoulders, triceps and stair master. It was really hard and I made it through the entire thing. I was spent after and really liked the workout.","If we would despise the enemy, our thoughts must always be of God and our souls always glad with hope."
I had a really good dinner yesterday with my wife and my son. We were really able to relax and connect.,"I think everything in life is art. What you do. How you dress. The way you love someone, and how you talk. Your smile and your personality. What you believe in, and all your dreams. The way you drink your tea, How you decorate your home. Or party. Your grocery list. The food you make. How your writing looks. And the way you feel. Life is art."
I had a nice dinner with my wife yesterday.  It was a good way to relax after a  hard day at work.  She always knows how to make me feel loved and appreciated.,Take a lover who looks at you like maybe you are magic.
"I had a medical appointment today, and was so relieved when all the tests came back showing that everything was good. No problems at all.","Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great"
"I had a lot of work to get done yesterday and was quite apprehensive about whether I would be successful in completing it all. To my surprise and even with some interruptions, I was able to focus for a long period of time and get all my jobs done. I felt very satisfied and content when I left the office.",You must never be fearful of what you are doing when it is right.
I had a lot going on at work and it all just started to come together really well.  I got a lot of loose ends tied up which helped me feel like things are getting better.  I was calm and cool and managed to do each task efficiently.  It really made me feel a sense of confidence and satisfaction knowing that things were going so well.,"Coming together is a beginning, staying together is progress, and working together is success."
I had a long conversation with my Dad yesterday. It was interesting and enjoyable.,Whoever is happy will make others happy too.
"I had a great workout the other day, it made me feel extremely refreshed.","Where There is a will
there is a will
to search and discover
a better day

Where a positive heart
is all you need
to rise beyond
and succeed

Where young minds grow
and respect each other
based on their deeds
and not their color

when times are dim
say as I say
""Where there's a will
there's a way!"
I had a great meal with friends,"One love, one heart, one destiny."
i had a great day with my family yesterday,"I am that clumsy human, always loving, loving, loving. And loving. And never leaving."
I had a great day out with my friend Jennifer,"Peace, love, empathy"
I had a great day at work and found out that I am going to get a substantial raise in the new year. That is always good news and goes to show that my hard work is paying off.,"In a world that changes at an exponential rate, members of such world community have to be very proficient in finding reasonable solutions to the problems that they face by themselves."
I had a great breakfast today. It gave me fuel for the day and tasted amazing.,Always remember. You will live. You will love. You will dance again.
"I had a good time with my kids after school. We played chess, ate dinner, had dessert, and watched a movie together.","People are just as wonderful as sunsets if I can let them be… When I look at a sunset, I don’t find myself saying, ""Soften the orange a bit on the right hand corner""… I don’t try to control a sunset. I watch with awe as it unfolds."
"I had a good selection of tasks yesterday, and they exceeded my goals (in terms of hours worked and earnings.)  Knowing that the weather had turned cold and miserable, and that at the end of the week my work day's were going to be interrupted by other responsibilities, it was that much more satisfying that I could get more than the average amount of work accomplished yesterday.  I was also able to concentrate on/organize some upcoming chores and personal projects, especially some photography I want to accomplish. Earning more money now puts me at ease about missing some work time later this month when I pursue these types of personal projects.","I never cared about the money, that's not why I started acting, and I never liked the fame. The paparazzi culture is more pervasive than it used to be, kind of: 'Let's watch the actor pump gas.' It's nice not to have to worry about bills, though.
It's a cliche that money doesn't buy you happiness, but it does buy you the freedom to live your life the way you want."
"i had a good day that i hoped and prayed for. yestday morning i prayed to God that i wanted a good day and most of all a good profit to come out of my business. thank God for the answered prayer, i made some good deals yestday and today i'm a bit richer than i was.",The beginning of purpose is found in creating something that only you understand.
"I got to work out, it was hard, but satisfying. This is something that i have been denying myself and I finally am doing it again. I am grateful and happy about it",From God we have come and to God we must return.
I got to talk with my parents. They called to tell me good news that my cousin got married and is having a baby. It was such a wonderful thing to hear.,Whoever is happy will make others happy too.
I got to spend time with my family today which was important to me.,We cannot underestimate the power of love in our lives. Only those who have been there will truly understand your feelings.
I got to spend time with my cousins Rachael and Emily.  We are very close and we enjoy watching television shows together.  We have snacks and laugh like there's no tomorrow.  I love them so much,Always remember. You will live. You will love. You will dance again.
"i got to spend the day with my wife, it was very refreshing to enjoy each others company.","Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
I got to read the Bible and my favorite books on the subject of Christianity. It helped me become more at peace and loving towards myself and others.,They laugh at me because I'm different; I laugh at them because they're all the same.
I got to put christmas lights up with my wife and it was so fun!,Take a lover who looks at you like maybe you are magic.
"I got some rest that refreshed me after a tiring and bothersome day, so it was a nice step forward somewhat.","If we would despise the enemy, our thoughts must always be of God and our souls always glad with hope."
"I got in a good workout at the gym. Despite my injured knee, I worked out for almost an hour. I felt relaxed and good afterward. It was a good day.",We will rock you
"I found out yesterday that my relative has endometriosis cancer. Somewhat, we had a feeling about the result but it still made us sad and angry at the same time. She had the symptoms and when the doctor asked them to come earlier than the scheduled appointment, we kind of got the clue. I hope she can be treated and healed.","The least I can do is speak out for the hundreds of chimpanzees who, right now, sit hunched, miserable and without hope, staring out with dead eyes from their metal prisons. They cannot speak for themselves."
I found out yesterday I have a severe case of bronchitis. At first they thought it was pneumonia until the xray came back negative. I already deal with out of control asthma every day of my life. I'm confused how I got sick. I'm frustrated and upset/,They got money for wars but they can’t feed the poor. 
"I found a recipe online and I made it.Sometimes my cooking is not very good, but this time ,it was excellent.",Constructive process is a process of development and learning is a process of reconstruction of nature.
I found a new pokemon game edit online and I modified it to suit my needs. It was a nice time because I was able to figure out exactly what I wanted and a way to do it that circumvented my limitations in editing someone else's program.,"One chance, bang!"
I finally finished a hand beaded bracelet that I have been trying to learn for over a month. It made me feel great to have it done. It looks really cute too.,"There is only one happiness in life, to love and be loved."
I felt very obligated,"All I feel are the assaults of apprehension and terror at the thought that I am the only one who is entirely unlike the rest. It is almost impossible for me to converse with other people. What should I talk about, how should I say it? - I don't know."
I felt very happy today because all the members of my family were together and we had a very good day eating dinner together and telling funny stories.,"Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great"
I felt very good and happy about my family as I do everyday. I am very thankful for them.,"It’s always wonderful to get to know women, with the mystery and the joy and the depth. If you can make a woman laugh, you’re seeing the most beautiful thing on God’s Earth."
I felt very calm and relaxed yesterday while I was relaxing and reading. It was a very nice thing and I like to do it everyday.,"This time the struggle is for our freedom, this time the struggle is for our independence! Joy bangla!"
I felt that we bonded a lot yesterday and this was during our lovemaking session.  Truly felt like we had that spiritual connection that you only see in movies,Love is friendship set to music.
I felt so satisfied yesterday. It was one of those days where you are really reassured in your love.,I have loved books all my life. There is nothing more beautiful in our material world than the book.
I felt really happy and proud of myself for getting up and working out. It made me feel accomplished.,"The wonderful things in life are the things you do, not the things you have."
I felt it was very important and salient because I was very happy and I love my family very much. We went out to dinner and had a great time. I love spending time and laughing with my family.,"I think everything in life is art. What you do. How you dress. The way you love someone, and how you talk. Your smile and your personality. What you believe in, and all your dreams. The way you drink your tea, How you decorate your home. Or party. Your grocery list. The food you make. How your writing looks. And the way you feel. Life is art."
I felt it was just me and my time. I felt like it was so peaceful. The jog was great and it was refreshing. There are no rules to follow at all when jogging. It's relaxing.,My garden is my most beautiful masterpiece
I felt happy. Yesterday was a pretty important day.,Whoever is happy will make others happy too.
I felt God wwith me all day yesterday. It made me feel very blessed.,"Dreams are like stars; you may never touch them, but if you follow them, they will lead you to your destiny."
I felt as if this were just a normal day but actually worse then normal. I had a lot of angry customers at work and I had less coworkers to help me.,Sweet as sugar. Hard as ice. Hurt me once. I'll kill you twice.
I felt as if my morning walk made me feel very refreshed and is vital to starting my day off right.,"At present I absolutely want to paint a starry sky. It often seems to me that night is still more richly coloured than the day; having hues of the most intense violets, blues and greens. If only you pay attention to it you will see that certain stars are lemon-yellow, others pink or a green, blue and forget-me-not brilliance. And without my expatiating on this theme it is obvious that putting little white dots on the blue-black is not enough to paint a starry sky."
I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.,Art is a big question mark.
"I feel that sometimes I can be at my best then I have days where I feel like I'm nothing, it's something that bothers me a lot","If I'm in a bad mood, or if I'm uncomfortable, it's probably what I'm wearing that's making me feel that way."
I feel so happy when I come home and am able to see my daughter and wife. They are the most important thing to me and it is very salient.,Wisdom tells me I am nothing. Love tells me I am everything. And between the two my life flows.
I feel safe eating and felt that I was satiated.,"When I was older
I was a sailor
On an open sea
But now I'm underwater
And my skin is paler
Than it should ever be"
"I feel like we're really making good progress on our project at work and I'm happy about that.  Everyone on the project team is motivated to get the job done and considers it important as well as relevant to our greater goals.  Everybody is contributing equally to its success and cooperating with each other, which means it's running smoothly.  I'm proud to be part of this team and proud of the work we're doing together.",We cannot underestimate the power of love in our lives. Only those who have been there will truly understand your feelings.
I feel bad because I do have a very bossy and strict boss,You get depressed because you know that you're not what you should be.
"I exercised yesterday as I'd planned, going for a power walk and then lifting weights after dinner.  I felt proud about being committed to it and getting it done, although I also found it challenging and dull.  I really had to push myself to start.  Once I started it wasn't bad though.  And now I want to keep doing this and getting in better and better shape.",There is no way to happiness. Happiness is the way.
I exercised to help strengthen my hips so the go back into alignment. I felt like I was making progress. I felt cracking and popping in m neck while doing the exercises. This was reassuring.,Here is my secret. It is very simple. It is only with the heart that one can see rightly; What is essential is invisible to the eye.
"I exercised for the first time in a while yesterday. It was tough getting back into it, but I felt satisfied by the end of it.","I am the Lizard King, I can do anything!"
"I enjoyed my yoga and relaxation. I am always glad when I do it. Plus I walked to the beach, which is a treat.","Being born is a blessing in itself. You have survived, despite all the odds."
I enjoyed my time with my boyfriend because it was our one year anniversary so we just spent a lot of time together and set up Christmas decorations.,In my first video diary I explained my love for women who have a taste in carrots.
I enjoyed a great lunch with my father.  We had a long talk and enjoyed each other's company.  I enjoyed it very much.,"When I fall in love, it will be forever."
"I enjoy my days going to the gym.  I ride my bicycle five mile to get there, which is very relaxing.  I have been going for many years and have quite a few people I am getting to  know.  It is good to see them there.","I always say that the times in my life when I've been happiest are the times when I've seen, like, a sunset."
"I eat a lot of good paste yesterday, I was very happy and excited.","Everyone should consider his
body as a priceless gift from
one whom he loves above all, a
marvelous work of art, of
indescribable beauty, and
mystery beyond human conception, and so delicate that
a word, a breath, a look, nay, a
thought may injure it."
I did my exercises at the club house. Did 2.2 miles on the treadmill and then lifted weights. I felt really strong and energized today. A really good work out day.,"Heroes come and go, but legends are forever."
I decided to stay indoors as it was cold and snowing yesterday.  I said a prayer and was thanking God for the warmth and shelter.,"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy…. Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for."
I cooked my own hamburger yesterday. It tasted good though it could have been better.,"People are just as wonderful as sunsets if I can let them be… When I look at a sunset, I don’t find myself saying, ""Soften the orange a bit on the right hand corner""… I don’t try to control a sunset. I watch with awe as it unfolds."
I completed a lot of work yesterday. I reached goals I had set out for my self. At the end of the work day I felt like I had accomplished a lot.,"Words are more powerful than some noises. Noises won't last long. Lyrics are so important, and people don't realise that."
"I completed a big work project that had been going on for months. It felt really great to finish it successfully. It gave me a feeling of accomplishment, pride and confidence.","The truth is, indeed, that love is the threshold of another universe."
"I came home from a hard day of work and not only did my husband put in wood, he also tended to the pets and made dinner. He did all of this before I got home. I was so appreciative and impressed that I actually called my best friend to talk about it.","The Sea, once it casts its spell, holds one in its net of wonder forever."
I attended a study group with friends. I looked forward to going and had a great time. I was able to say things that were on my mind and to listen to others as well. Very encouraging.,"Being born is a blessing in itself. You have survived, despite all the odds."
I ate to much junk food yesterday,"Birds scream at the top of their lungs in horrified hellish rage every morning at daybreak to warn us all of the truth, but sadly we don't speak bird."
I ate pizza for breakfast. It was good. I was satisfied. I ate it cold.,"This time the struggle is for our freedom, this time the struggle is for our independence! Joy bangla!"
"I answered an email to my sister in law about Thanksgiving dinner. I told her I would not eat some of the foods being served because I don't eat a lot and I eat very healthy compared to her. She got angry that I had the nerve to say that and was very short and terse in her answer back. I was confused because I didn't say anything mean or nasty, just told her my feelings.",You're right. I am crazy. But you know what else? I don't care.
"I am trying to lose weight and get in better shape. I joined a fitness boot camp that is really pushing me to my limits. I am sore and exhausted after, but I also feel like I am accomplishing my goals.",A dream you dream alone is only a dream. A dream you dream together is reality.
I am trying to eat more healthy and getting limited success.,Living itself is the source of sin.
